"","advice_total","advice_rank","advice.weighted.rank","creativity_total","creativity_rank","influence.weighted.rank","cs_avg_rank","cs_avg_rank.weighted","friends_total","friends_rank","friends_rank.weighted","total","total.rank"
"advice_33",15,4.5,1.35,16,2,0.8,6.5,1.625,15,1,0.05,3.825,1
"advice_30",8,12.5,3.75,11,7,2.8,16.5,4.125,1,57.5,2.875,13.55,2
"advice_57",7,15,4.5,6,19,7.6,3,0.75,6,23.5,1.175,14.025,3
"advice_21",9,9,2.7,15,3,1.2,41.5,10.375,10,5,0.25,14.525,4
"advice_28",4,28.5,8.55,8,9.5,3.8,8.5,2.125,7,17.5,0.875,15.35,5
"advice_46",11,6,1.8,7,14,5.6,34.5,8.625,10,5,0.25,16.275,6
"advice_50",8,12.5,3.75,13,4.5,1.8,46,11.5,8,11.5,0.575,17.625,7
"advice_49",5,22,6.6,7,14,5.6,29,7.25,3,47.5,2.375,21.825,8
"advice_26",8,12.5,3.75,4,32.5,13,16.5,4.125,5,30,1.5,22.375,9
"advice_07",0,58.5,17.55,17,1,0.4,16.5,4.125,8,11.5,0.575,22.65,10
"advice_24",5,22,6.6,6,19,7.6,31,7.75,4,37.5,1.875,23.825,11
"advice_15",3,36.5,10.95,5,24,9.6,3,0.75,2,54.5,2.725,24.025,12
"advice_20",2,46,13.8,12,6,2.4,34.5,8.625,7,17.5,0.875,25.7,13
"advice_34",16,3,0.9,2,51.5,20.6,6.5,1.625,1,57.5,2.875,26,14
"advice_02",4,28.5,8.55,3,42.5,17,3,0.75,7,17.5,0.875,27.175,15
"advice_01",6,17.5,5.25,3,42.5,17,13,3.25,3,47.5,2.375,27.875,16
"advice_52",4,28.5,8.55,4,32.5,13,25,6.25,7,17.5,0.875,28.675,17
"advice_16",3,36.5,10.95,4,32.5,13,20.5,5.125,5,30,1.5,30.575,18
"advice_17",15,4.5,1.35,3,42.5,17,50,12.5,12,2,0.1,30.95,19
"advice_23",10,7,2.1,2,51.5,20.6,25,6.25,3,47.5,2.375,31.325,20
"advice_35",4,28.5,8.55,5,24,9.6,47,11.75,5,30,1.5,31.4,21
"advice_58",2,46,13.8,4,32.5,13,23,5.75,6,23.5,1.175,33.725,22
"advice_37",6,17.5,5.25,3,42.5,17,39,9.75,4,37.5,1.875,33.875,23
"advice_39",1,54,16.2,5,24,9.6,37,9.25,4,37.5,1.875,36.925,24
"advice_56",2,46,13.8,5,24,9.6,55,13.75,8,11.5,0.575,37.725,25
"advice_11",8,12.5,3.75,2,51.5,20.6,57,14.25,4,37.5,1.875,40.475,26
"advice_12",3,36.5,10.95,2,51.5,20.6,41.5,10.375,7,17.5,0.875,42.8,27
"advice_44",2,46,13.8,2,51.5,20.6,27.5,6.875,3,47.5,2.375,43.65,28
"advice_31",2,46,13.8,1,58,23.2,33,8.25,3,47.5,2.375,47.625,29
"advice_03",1,54,16.2,2,51.5,20.6,36,9,3,47.5,2.375,48.175,30
"advice_27",1,54,16.2,1,58,23.2,53,13.25,0,60,3,55.65,31
