"","advice_total","advice_rank","advice.weighted.rank","implementation_total","implementation_rank","influence.weighted.rank","cs_avg_rank","cs_avg_rank.weighted","friends_total","friends_rank","friends_rank.weighted","total","total.rank"
"advice_19",18,1,0.35,13,4.5,1.575,48,9.6,10,5,0.5,12.025,1
"advice_14",9,9,3.15,10,11.5,4.025,59,11.8,10,5,0.5,19.475,2
"advice_18",3,36.5,12.775,7,17.5,6.125,3,0.6,6,23.5,2.35,21.85,3
"advice_41",5,22,7.7,4,32,11.2,10,2,4,37.5,3.75,24.65,4
"advice_51",6,17.5,6.125,4,32,11.2,39,7.8,10,5,0.5,25.625,5
"advice_09",4,28.5,9.975,4,32,11.2,12,2.4,5,30,3,26.575,6
"advice_32",5,22,7.7,3,41.5,14.525,8.5,1.7,5,30,3,26.925,7
"advice_25",3,36.5,12.775,11,8.5,2.975,51,10.2,8,11.5,1.15,27.1,8
"advice_06",2,46,16.1,9,13,4.55,30,6,6,23.5,2.35,29,9
"advice_05",9,9,3.15,3,41.5,14.525,57,11.4,5,30,3,32.075,10
"advice_43",4,28.5,9.975,5,25,8.75,54,10.8,5,30,3,32.525,11
"advice_55",6,17.5,6.125,3,41.5,14.525,45,9,4,37.5,3.75,33.4,12
"advice_08",2,46,16.1,4,32,11.2,20.5,4.1,1,57.5,5.75,37.15,13
"advice_40",2,46,16.1,3,41.5,14.525,22,4.4,3,47.5,4.75,39.775,14
"advice_42",3,36.5,12.775,4,32,11.2,57,11.4,3,47.5,4.75,40.125,15
"advice_60",3,36.5,12.775,2,51,17.85,25,5,3,47.5,4.75,40.375,16
"advice_45",1,54,18.9,3,41.5,14.525,16.5,3.3,3,47.5,4.75,41.475,17
"advice_59",0,58.5,20.475,3,41.5,14.525,27.5,5.5,8,11.5,1.15,41.65,18
"advice_54",2,46,16.1,2,51,17.85,39,7.8,6,23.5,2.35,44.1,19
"advice_04",2,46,16.1,1,55,19.25,16.5,3.3,2,54.5,5.45,44.1,20
"advice_36",4,28.5,9.975,0,58,20.3,52,10.4,3,47.5,4.75,45.425,21
"advice_10",1,54,18.9,3,41.5,14.525,44,8.8,4,37.5,3.75,45.975,22
"advice_38",0,58.5,20.475,2,51,17.85,16.5,3.3,3,47.5,4.75,46.375,23
"advice_53",2,46,16.1,3,41.5,14.525,60,12,4,37.5,3.75,46.375,24
"advice_47",0,58.5,20.475,0,58,20.3,32,6.4,1,57.5,5.75,52.925,25
